feature,F_statistic,p_value,independent_of_class(p>0.01)
fg_r,0.970038652420044,0.43453967571258545,True
fg_g,0.8713167905807495,0.49937301874160767,True
fg_b,1.1428076028823853,0.33519601821899414,True
bg_r,2.1688616275787354,0.054721251130104065,True
bg_g,0.937473714351654,0.45530688762664795,True
bg_b,1.0452018976211548,0.38905075192451477,True
fg_brightness,1.2026604413986206,0.30508965253829956,True
bg_brightness,1.369910478591919,0.23226149380207062,True
lum_contrast,0.7933812737464905,0.5542415976524353,True
noise_std,0.6435683084384201,0.6664516245135492,True
sharpness,6.688628691853654,3.2079031217174484e-06,False
